date,month,month_name,year,employees,monthly_growth,growth_rate_pct
2006-06-01,2006-06,June 2006,2006,446,0,0.0
2006-07-01,2006-07,July 2006,2006,453,7,1.57
2006-08-01,2006-08,August 2006,2006,453,0,0.0
2006-09-01,2006-09,September 2006,2006,458,5,1.104
2006-10-01,2006-10,October 2006,2006,473,15,3.275
2006-11-01,2006-11,November 2006,2006,496,23,4.863
2006-12-01,2006-12,December 2006,2006,496,0,0.0
2007-01-01,2007-01,January 2007,2007,496,0,0.0
2007-02-01,2007-02,February 2007,2007,496,0,0.0
2007-03-01,2007-03,March 2007,2007,526,30,6.048
2007-04-01,2007-04,April 2007,2007,526,0,0.0
2007-05-01,2007-05,May 2007,2007,526,0,0.0
2007-06-01,2007-06,June 2007,2007,539,13,2.471
2007-07-01,2007-07,July 2007,2007,539,0,0.0
2007-08-01,2007-08,August 2007,2007,555,16,2.968
2007-09-01,2007-09,September 2007,2007,555,0,0.0
2007-10-01,2007-10,October 2007,2007,555,0,0.0
2007-11-01,2007-11,November 2007,2007,555,0,0.0
2007-12-01,2007-12,December 2007,2007,555,0,0.0
2008-01-01,2008-01,January 2008,2008,583,28,5.045
2008-02-01,2008-02,February 2008,2008,593,10,1.715
2008-03-01,2008-03,March 2008,2008,598,5,0.843
2008-04-01,2008-04,April 2008,2008,601,3,0.502
2008-05-01,2008-05,May 2008,2008,601,0,0.0
2008-06-01,2008-06,June 2008,2008,609,8,1.331
2008-07-01,2008-07,July 2008,2008,615,6,0.985
2008-08-01,2008-08,August 2008,2008,615,0,0.0
2008-09-01,2008-09,September 2008,2008,627,12,1.951
2008-10-01,2008-10,October 2008,2008,644,17,2.711
2008-11-01,2008-11,November 2008,2008,681,37,5.745
2008-12-01,2008-12,December 2008,2008,681,0,0.0
2009-01-01,2009-01,January 2009,2009,681,0,0.0
2009-02-01,2009-02,February 2009,2009,681,0,0.0
2009-03-01,2009-03,March 2009,2009,681,0,0.0
2009-04-01,2009-04,April 2009,2009,693,12,1.762
2009-05-01,2009-05,May 2009,2009,702,9,1.299
2009-06-01,2009-06,June 2009,2009,757,55,7.835
2009-07-01,2009-07,July 2009,2009,757,0,0.0
2009-08-01,2009-08,August 2009,2009,757,0,0.0
2009-09-01,2009-09,September 2009,2009,757,0,0.0
2009-10-01,2009-10,October 2009,2009,757,0,0.0
2009-11-01,2009-11,November 2009,2009,758,1,0.132
2009-12-01,2009-12,December 2009,2009,760,2,0.264
2010-01-01,2010-01,January 2010,2010,772,12,1.579
2010-02-01,2010-02,February 2010,2010,772,0,0.0
2010-03-01,2010-03,March 2010,2010,808,36,4.663
2010-04-01,2010-04,April 2010,2010,808,0,0.0
2010-05-01,2010-05,May 2010,2010,808,0,0.0
2010-06-01,2010-06,June 2010,2010,848,40,4.95
2010-07-01,2010-07,July 2010,2010,848,0,0.0
2010-08-01,2010-08,August 2010,2010,848,0,0.0
2010-09-01,2010-09,September 2010,2010,848,0,0.0
2010-10-01,2010-10,October 2010,2010,848,0,0.0
2010-11-01,2010-11,November 2010,2010,848,0,0.0
2010-12-01,2010-12,December 2010,2010,848,0,0.0
2011-01-01,2011-01,January 2011,2011,848,0,0.0
2011-02-01,2011-02,February 2011,2011,869,21,2.476
2011-03-01,2011-03,March 2011,2011,869,0,0.0
2011-04-01,2011-04,April 2011,2011,917,48,5.524
2011-05-01,2011-05,May 2011,2011,917,0,0.0
2011-06-01,2011-06,June 2011,2011,917,0,0.0
2011-07-01,2011-07,July 2011,2011,917,0,0.0
2011-08-01,2011-08,August 2011,2011,917,0,0.0
2011-09-01,2011-09,September 2011,2011,917,0,0.0
2011-10-01,2011-10,October 2011,2011,940,23,2.508
2011-11-01,2011-11,November 2011,2011,940,0,0.0
2011-12-01,2011-12,December 2011,2011,940,0,0.0
2012-01-01,2012-01,January 2012,2012,944,4,0.426
2012-02-01,2012-02,February 2012,2012,972,28,2.966
2012-03-01,2012-03,March 2012,2012,972,0,0.0
2012-04-01,2012-04,April 2012,2012,972,0,0.0
2012-05-01,2012-05,May 2012,2012,992,20,2.058
2012-06-01,2012-06,June 2012,2012,992,0,0.0
2012-07-01,2012-07,July 2012,2012,992,0,0.0
2012-08-01,2012-08,August 2012,2012,997,5,0.504
2012-09-01,2012-09,September 2012,2012,997,0,0.0
2012-10-01,2012-10,October 2012,2012,1004,7,0.702
2012-11-01,2012-11,November 2012,2012,1015,11,1.096
2012-12-01,2012-12,December 2012,2012,1015,0,0.0
2013-01-01,2013-01,January 2013,2013,1089,74,7.291
2013-02-01,2013-02,February 2013,2013,1089,0,0.0
2013-03-01,2013-03,March 2013,2013,1089,0,0.0
2013-04-01,2013-04,April 2013,2013,1089,0,0.0
2013-05-01,2013-05,May 2013,2013,1089,0,0.0
2013-06-01,2013-06,June 2013,2013,1101,12,1.102
2013-07-01,2013-07,July 2013,2013,1116,15,1.362
2013-08-01,2013-08,August 2013,2013,1116,0,0.0
2013-09-01,2013-09,September 2013,2013,1116,0,0.0
2013-10-01,2013-10,October 2013,2013,1116,0,0.0
2013-11-01,2013-11,November 2013,2013,1128,12,1.075
2013-12-01,2013-12,December 2013,2013,1176,48,4.255
2014-01-01,2014-01,January 2014,2014,1176,0,0.0
2014-02-01,2014-02,February 2014,2014,1176,0,0.0
2014-03-01,2014-03,March 2014,2014,1176,0,0.0
2014-04-01,2014-04,April 2014,2014,1176,0,0.0
2014-05-01,2014-05,May 2014,2014,1176,0,0.0
2014-06-01,2014-06,June 2014,2014,1185,9,0.765
2014-07-01,2014-07,July 2014,2014,1185,0,0.0
2014-08-01,2014-08,August 2014,2014,1206,21,1.772
2014-09-01,2014-09,September 2014,2014,1206,0,0.0
2014-10-01,2014-10,October 2014,2014,1239,33,2.736
2014-11-01,2014-11,November 2014,2014,1239,0,0.0
2014-12-01,2014-12,December 2014,2014,1308,69,5.569
2015-01-01,2015-01,January 2015,2015,1308,0,0.0
2015-02-01,2015-02,February 2015,2015,1308,0,0.0
2015-03-01,2015-03,March 2015,2015,1308,0,0.0
2015-04-01,2015-04,April 2015,2015,1308,0,0.0
2015-05-01,2015-05,May 2015,2015,1308,0,0.0
2015-06-01,2015-06,June 2015,2015,1308,0,0.0
2015-07-01,2015-07,July 2015,2015,1308,0,0.0
2015-08-01,2015-08,August 2015,2015,1308,0,0.0
2015-09-01,2015-09,September 2015,2015,1308,0,0.0
2015-10-01,2015-10,October 2015,2015,1308,0,0.0
2015-11-01,2015-11,November 2015,2015,1308,0,0.0
2015-12-01,2015-12,December 2015,2015,1340,32,2.446
2016-01-01,2016-01,January 2016,2016,1340,0,0.0
2016-02-01,2016-02,February 2016,2016,1340,0,0.0
2016-03-01,2016-03,March 2016,2016,1357,17,1.269
2016-04-01,2016-04,April 2016,2016,1375,18,1.326
2016-05-01,2016-05,May 2016,2016,1375,0,0.0
2016-06-01,2016-06,June 2016,2016,1376,1,0.073
2016-07-01,2016-07,July 2016,2016,1376,0,0.0
2016-08-01,2016-08,August 2016,2016,1376,0,0.0
2016-09-01,2016-09,September 2016,2016,1390,14,1.017
2016-10-01,2016-10,October 2016,2016,1405,15,1.079
2016-11-01,2016-11,November 2016,2016,1437,32,2.278
2016-12-01,2016-12,December 2016,2016,1450,13,0.905
2017-01-01,2017-01,January 2017,2017,1450,0,0.0
2017-02-01,2017-02,February 2017,2017,1450,0,0.0
2017-03-01,2017-03,March 2017,2017,1472,22,1.517
2017-04-01,2017-04,April 2017,2017,1483,11,0.747
2017-05-01,2017-05,May 2017,2017,1489,6,0.405
2017-06-01,2017-06,June 2017,2017,1640,151,10.141
2017-07-01,2017-07,July 2017,2017,1640,0,0.0
2017-08-01,2017-08,August 2017,2017,1640,0,0.0
2017-09-01,2017-09,September 2017,2017,1640,0,0.0
2017-10-01,2017-10,October 2017,2017,1640,0,0.0
2017-11-01,2017-11,November 2017,2017,1640,0,0.0
2017-12-01,2017-12,December 2017,2017,1640,0,0.0
2018-01-01,2018-01,January 2018,2018,1640,0,0.0
2018-02-01,2018-02,February 2018,2018,1640,0,0.0
2018-03-01,2018-03,March 2018,2018,1640,0,0.0
2018-04-01,2018-04,April 2018,2018,1640,0,0.0
2018-05-01,2018-05,May 2018,2018,1677,37,2.256
2018-06-01,2018-06,June 2018,2018,1677,0,0.0
2018-07-01,2018-07,July 2018,2018,1677,0,0.0
2018-08-01,2018-08,August 2018,2018,1677,0,0.0
2018-09-01,2018-09,September 2018,2018,1677,0,0.0
2018-10-01,2018-10,October 2018,2018,1677,0,0.0
2018-11-01,2018-11,November 2018,2018,1677,0,0.0
2018-12-01,2018-12,December 2018,2018,1677,0,0.0
2019-01-01,2019-01,January 2019,2019,1677,0,0.0
2019-02-01,2019-02,February 2019,2019,1677,0,0.0
2019-03-01,2019-03,March 2019,2019,1677,0,0.0
2019-04-01,2019-04,April 2019,2019,1677,0,0.0
2019-05-01,2019-05,May 2019,2019,1677,0,0.0
2019-06-01,2019-06,June 2019,2019,1677,0,0.0
2019-07-01,2019-07,July 2019,2019,1782,105,6.261
2019-08-01,2019-08,August 2019,2019,1782,0,0.0
2019-09-01,2019-09,September 2019,2019,1782,0,0.0
2019-10-01,2019-10,October 2019,2019,1782,0,0.0
2019-11-01,2019-11,November 2019,2019,1782,0,0.0
2019-12-01,2019-12,December 2019,2019,1782,0,0.0
2020-01-01,2020-01,January 2020,2020,1782,0,0.0
2020-02-01,2020-02,February 2020,2020,1782,0,0.0
2020-03-01,2020-03,March 2020,2020,1785,3,0.168
2020-04-01,2020-04,April 2020,2020,1815,30,1.681
2020-05-01,2020-05,May 2020,2020,1815,0,0.0
2020-06-01,2020-06,June 2020,2020,1815,0,0.0
2020-07-01,2020-07,July 2020,2020,1815,0,0.0
2020-08-01,2020-08,August 2020,2020,1815,0,0.0
2020-09-01,2020-09,September 2020,2020,1873,58,3.196
2020-10-01,2020-10,October 2020,2020,1873,0,0.0
2020-11-01,2020-11,November 2020,2020,1873,0,0.0
2020-12-01,2020-12,December 2020,2020,1873,0,0.0
2021-01-01,2021-01,January 2021,2021,1946,73,3.897
2021-02-01,2021-02,February 2021,2021,1946,0,0.0
2021-03-01,2021-03,March 2021,2021,1946,0,0.0
2021-04-01,2021-04,April 2021,2021,1946,0,0.0
2021-05-01,2021-05,May 2021,2021,1952,6,0.308
2021-06-01,2021-06,June 2021,2021,1952,0,0.0
2021-07-01,2021-07,July 2021,2021,1952,0,0.0
2021-08-01,2021-08,August 2021,2021,1952,0,0.0
2021-09-01,2021-09,September 2021,2021,1952,0,0.0
2021-10-01,2021-10,October 2021,2021,1952,0,0.0
2021-11-01,2021-11,November 2021,2021,1952,0,0.0
2021-12-01,2021-12,December 2021,2021,1952,0,0.0
2022-01-01,2022-01,January 2022,2022,1952,0,0.0
2022-02-01,2022-02,February 2022,2022,1952,0,0.0
2022-03-01,2022-03,March 2022,2022,2065,113,5.789
2022-04-01,2022-04,April 2022,2022,2065,0,0.0
2022-05-01,2022-05,May 2022,2022,2065,0,0.0
2022-06-01,2022-06,June 2022,2022,2065,0,0.0
2022-07-01,2022-07,July 2022,2022,2073,8,0.387
2022-08-01,2022-08,August 2022,2022,2073,0,0.0
2022-09-01,2022-09,September 2022,2022,2073,0,0.0
2022-10-01,2022-10,October 2022,2022,2073,0,0.0
2022-11-01,2022-11,November 2022,2022,2073,0,0.0
2022-12-01,2022-12,December 2022,2022,2073,0,0.0
2023-01-01,2023-01,January 2023,2023,2073,0,0.0
2023-02-01,2023-02,February 2023,2023,2073,0,0.0
2023-03-01,2023-03,March 2023,2023,2080,7,0.338
2023-04-01,2023-04,April 2023,2023,2080,0,0.0
2023-05-01,2023-05,May 2023,2023,2100,20,0.962
2023-06-01,2023-06,June 2023,2023,2136,36,1.714
2023-07-01,2023-07,July 2023,2023,2193,57,2.669
2023-08-01,2023-08,August 2023,2023,2193,0,0.0
2023-09-01,2023-09,September 2023,2023,2226,33,1.505
2023-10-01,2023-10,October 2023,2023,2226,0,0.0
2023-11-01,2023-11,November 2023,2023,2226,0,0.0
2023-12-01,2023-12,December 2023,2023,2226,0,0.0
2024-01-01,2024-01,January 2024,2024,2226,0,0.0
2024-02-01,2024-02,February 2024,2024,2226,0,0.0
2024-03-01,2024-03,March 2024,2024,2226,0,0.0
2024-04-01,2024-04,April 2024,2024,2226,0,0.0
2024-05-01,2024-05,May 2024,2024,2226,0,0.0
2024-06-01,2024-06,June 2024,2024,2258,32,1.438
2024-07-01,2024-07,July 2024,2024,2258,0,0.0
2024-08-01,2024-08,August 2024,2024,2258,0,0.0
2024-09-01,2024-09,September 2024,2024,2258,0,0.0
2024-10-01,2024-10,October 2024,2024,2258,0,0.0
2024-11-01,2024-11,November 2024,2024,2271,13,0.576
2024-12-01,2024-12,December 2024,2024,2245,-26,-1.145
